"subject","labjs_version","browser","browser_version","screen_width","screen_height","device_pixel_ratio","platform","OS"
1,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
2,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
3,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
4,"'20'2'2","Safari","14.0.3","1680","1050","2","""MacIntel","Mac OS X"
5,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
6,"'20'2'2","Chrome","89.0.4389","1280","800","2","""MacIntel","Mac OS X"
7,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
8,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
9,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
10,"'20'2'2","Chrome","89.0.4389","1920","1080","1","""Win32","Windows"
11,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
12,"'20'2'2","Edge","89.0.774","1280","720","1.5","""Win32","Windows"
13,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
14,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
15,"'20'2'2","Chrome","89.0.4389","1280","854","1.5","""Win32","Windows"
16,"'20'2'2","Safari","12.1.2","1440","900","1","""MacIntel","Mac OS X"
17,"'20'2'2","Edge","89.0.774","1536","864","1.25","""Win32","Windows"
18,"'20'2'2","Safari","14.0.3","1440","900","1","""MacIntel","Mac OS X"
19,"'20'2'2","Chrome","89.0.4389","1440","900","1","""MacIntel","Mac OS X"
20,"'20'2'2","Edge","89.0.774","1536","864","1.25","""Win32","Windows"
21,"'20'2'2","Safari","14.0.1","1280","800","1","""MacIntel","Mac OS X"
22,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
23,"'20'2'2","Safari","14.0.2","1440","900","2","""MacIntel","Mac OS X"
24,"'20'2'2","Chrome","89.0.4389","1600","900","1","""Win32","Windows"
25,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
26,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
27,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
28,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
29,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
