"subject","labjs_version","browser","browser_version","screen_width","screen_height","device_pixel_ratio","platform","OS"
1,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
2,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
3,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
4,"'20'2'2","Safari","14.0.3","1680","1050","2","""MacIntel","Mac OS X"
5,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
6,"'20'2'2","Chrome","89.0.4389","1280","800","2","""MacIntel","Mac OS X"
7,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
8,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
9,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
10,"'20'2'2","Chrome","89.0.4389","1920","1080","1","""Win32","Windows"
11,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
12,"'20'2'2","Edge","89.0.774","1280","720","1.5","""Win32","Windows"
13,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
14,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
15,"'20'2'2","Safari","13.1.3","1440","900","2","""MacIntel","Mac OS X"
16,"'20'2'2","Edge","90.0.818","1536","864","1.25","""Win32","Windows"
17,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
18,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
19,"'20'2'2","Chrome","89.0.4389","1280","854","1.5","""Win32","Windows"
20,"'20'2'2","Safari","12.1.2","1440","900","1","""MacIntel","Mac OS X"
21,"'20'2'2","Edge","89.0.774","1536","864","1.25","""Win32","Windows"
22,"'20'2'2","Safari","14.0.3","1440","900","1","""MacIntel","Mac OS X"
23,"'20'2'2","Chrome","89.0.4389","1440","900","1","""MacIntel","Mac OS X"
24,"'20'2'2","Edge","89.0.774","1536","864","1.25","""Win32","Windows"
25,"'20'2'2","Safari","14.0.1","1280","800","1","""MacIntel","Mac OS X"
26,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
27,"'20'2'2","Safari","14.0.2","1440","900","2","""MacIntel","Mac OS X"
28,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
29,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
30,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
31,"'20'2'2","Safari","14.0.","1440","900","2","""MacIntel","Mac OS X"
32,"'20'2'2","Chrome","89.0.4389","1600","900","1","""Win32","Windows"
33,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
34,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
35,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
36,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
37,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
38,"'20'2'2","Chrome","87.0.4280","1280","800","1","""MacIntel","Mac OS X"
39,"'20'2'2","Chrome","89.0.4389","1440","900","1","""MacIntel","Mac OS X"
40,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
41,"'20'2'2","Safari","12.0.1","1440","900","2","""MacIntel","Mac OS X"
42,"'20'2'2","Edge","90.0.818","1280","720","1.1299949884414673","""Win32","Windows"
43,"'20'2'2","Edge","90.0.818","1280","720","1.5","""Win32","Windows"
44,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
45,"'20'2'2","Safari","14.0.2","1440","900","2","""MacIntel","Mac OS X"
46,"'20'2'2","Chrome","89.0.4389","1440","900","1","""MacIntel","Mac OS X"
47,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
48,"'20'2'2","Edge","89.0.774","1280","720","1.125","""Win32","Windows"
49,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
50,"'20'2'2","Edge","89.0.774","1536","864","1.25","""Win32","Windows"
51,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
52,"'20'2'2","Safari","14.0.3","1280","800","2","""MacIntel","Mac OS X"
