"subject","gender","age","education","list","experiment_time","trap_accuracy","honesty","subject_pool","filename"
1,"female",34,"A-Levels","A",16.5667,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_12h18.37.274.csv"
2,"female",29,"undergraduate","A",20.9833,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_12h22.05.143.csv"
3,"female",35,"phd","A",17.9833,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_15h05.41.76.csv"
4,"female",36,"postgraduate","A",12.5,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_15h10.43.129.csv"
5,"male",44,"undergraduate","A",20.2,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_15h19.54.396.csv"
6,"female",34,"postgraduate","A",24.2833,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_15h30.31.861.csv"
7,"male",29,"postgraduate","A",14.9333,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-01_16h25.30.803.csv"
8,"female",22,"A-Levels","A",16.55,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-02_12h33.31.122.csv"
9,"male",33,"phd","A",26.8,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-02_12h55.20.854.csv"
10,"male",29,"A-Levels","A",36.8333,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-02_12h55.34.657.csv"
11,"female",50,"undergraduate","B",14.5833,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-01_12h44.30.937.csv"
12,"female",22,"undergraduate","B",14.9833,1,"1","University pool","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-01_12h50.44.117.csv"
